file_name,real_age
000000.jpg,4
000001.jpg,18
000002.jpg,80
000003.jpg,50
000004.jpg,17
000005.jpg,27
000006.jpg,24
000007.jpg,43
000008.jpg,26
000009.jpg,39
000010.jpg,17
000011.jpg,51
000012.jpg,2
000013.jpg,1
000014.jpg,6
000015.jpg,18
000016.jpg,24
000017.jpg,5
000018.jpg,40
000019.jpg,16
000020.jpg,29
000021.jpg,1
000022.jpg,35
000023.jpg,25
000024.jpg,5
000025.jpg,30
000026.jpg,24
000027.jpg,35
000028.jpg,65
000029.jpg,13
000030.jpg,1
000031.jpg,28
000032.jpg,27
000033.jpg,16
000034.jpg,4
000035.jpg,16
000036.jpg,2
000037.jpg,31
000038.jpg,10
000039.jpg,4
000040.jpg,1
000041.jpg,34
000042.jpg,15
000043.jpg,30
000044.jpg,8
000045.jpg,20
000046.jpg,16
000047.jpg,19
000048.jpg,40
000049.jpg,10
000050.jpg,42
000051.jpg,23
000052.jpg,25
000053.jpg,1
000054.jpg,58
000055.jpg,23
000056.jpg,44
000057.jpg,7
000058.jpg,21
000059.jpg,14
000060.jpg,28
000061.jpg,24
000062.jpg,10
000063.jpg,40
000064.jpg,26
000065.jpg,34
000066.jpg,48
000067.jpg,39
000068.jpg,5
000069.jpg,24
000070.jpg,27
000071.jpg,45
000072.jpg,24
000073.jpg,21
000074.jpg,24
000075.jpg,24
000076.jpg,26
000077.jpg,14
000078.jpg,17
000079.jpg,2
000080.jpg,27
000081.jpg,23
000082.jpg,25
000083.jpg,18
000084.jpg,58
000085.jpg,51
000086.jpg,25
000087.jpg,29
000088.jpg,37
000089.jpg,50
000090.jpg,35
000091.jpg,22
000092.jpg,28
000093.jpg,59
000094.jpg,30
000095.jpg,17
000096.jpg,53
000097.jpg,51
000098.jpg,24
000099.jpg,19
000100.jpg,45
000101.jpg,9
000102.jpg,41
000103.jpg,32
000104.jpg,27
000105.jpg,60
000106.jpg,45
000107.jpg,23
000108.jpg,38
000109.jpg,20
000110.jpg,13
000111.jpg,54
000112.jpg,49
000113.jpg,19
000114.jpg,36
000115.jpg,80
000116.jpg,24
000117.jpg,11
000118.jpg,8
000119.jpg,60
000120.jpg,70
000121.jpg,23
000122.jpg,15
000123.jpg,22
